,draw_size,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,surface_cat,fav_win
49,32,106233,1,Dominic Thiem,R,185.0,24.3,105379,0,Aljaz Bedene,R,181.0,28.4,3,16,106.0,9.0,3.0,66.0,42.0,33.0,12.0,11.0,2.0,3.0,1.0,1.0,96.0,57.0,37.0,17.0,11.0,12.0,15.0,5.0,4015.0,49.0,993.0,2018,2,True
50,32,126094,0,Andrey Rublev,R,188.0,20.1,106432,0,Borna Coric,R,188.0,21.1,3,8,90.0,2.0,8.0,67.0,37.0,32.0,13.0,11.0,1.0,2.0,6.0,2.0,62.0,43.0,28.0,7.0,10.0,1.0,4.0,39.0,1229.0,48.0,1001.0,2018,2,True
51,32,105550,0,Guido Pella,L,185.0,27.6,105806,0,Mirza Basic,R,188.0,26.4,3,8,66.0,7.0,1.0,54.0,44.0,34.0,6.0,9.0,2.0,2.0,3.0,1.0,48.0,34.0,23.0,6.0,8.0,4.0,7.0,64.0,774.0,138.0,399.0,2018,2,True
52,32,104792,0,Gael Monfils,R,193.0,31.3,105376,0,Peter Gojowczyk,R,185.0,28.4,3,8,87.0,8.0,4.0,70.0,51.0,37.0,8.0,11.0,1.0,3.0,0.0,0.0,68.0,35.0,21.0,19.0,10.0,3.0,6.0,46.0,1015.0,60.0,817.0,2018,2,True
53,32,106233,1,Dominic Thiem,R,185.0,24.3,126774,0,Stefanos Tsitsipas,R,193.0,19.3,3,8,100.0,7.0,4.0,70.0,45.0,33.0,13.0,11.0,6.0,7.0,4.0,3.0,76.0,49.0,32.0,11.0,11.0,2.0,5.0,5.0,4015.0,91.0,606.0,2018,2,True
54,32,126094,0,Andrey Rublev,R,188.0,20.1,105550,0,Guido Pella,L,185.0,27.6,3,4,145.0,2.0,11.0,117.0,76.0,55.0,14.0,15.0,7.0,11.0,3.0,0.0,101.0,74.0,44.0,12.0,15.0,6.0,11.0,39.0,1229.0,64.0,774.0,2018,2,True
55,32,106329,0,Thiago Monteiro,L,183.0,23.5,105074,0,Ruben Bemelmans,L,183.0,29.9,3,32,161.0,6.0,6.0,114.0,65.0,56.0,24.0,17.0,5.0,6.0,8.0,1.0,107.0,75.0,58.0,16.0,16.0,1.0,3.0,124.0,475.0,117.0,503.0,2018,2,False
56,32,111513,0,Laslo Djere,R,188.0,22.5,105657,0,Marius Copil,R,193.0,27.2,3,32,145.0,8.0,8.0,96.0,56.0,45.0,17.0,17.0,3.0,6.0,9.0,8.0,108.0,53.0,42.0,23.0,17.0,2.0,6.0,88.0,612.0,93.0,601.0,2018,2,True
57,32,105062,7,Mikhail Kukushkin,R,183.0,30.0,105430,0,Radu Albot,R,175.0,28.1,3,32,124.0,2.0,0.0,82.0,49.0,33.0,19.0,10.0,8.0,9.0,5.0,6.0,85.0,52.0,33.0,12.0,10.0,6.0,9.0,74.0,693.0,87.0,616.0,2018,2,True
58,32,105916,0,Marton Fucsovics,R,188.0,25.8,106044,0,Nicolas Kicker,R,178.0,25.3,3,32,55.0,2.0,0.0,36.0,26.0,21.0,7.0,7.0,0.0,0.0,2.0,2.0,49.0,27.0,12.0,11.0,8.0,4.0,9.0,85.0,630.0,95.0,590.0,2018,2,True
59,32,111797,0,Nicolas Jarry,R,198.0,22.2,104665,0,Pablo Andujar,R,180.0,31.9,3,32,150.0,9.0,5.0,105.0,63.0,48.0,24.0,17.0,5.0,7.0,4.0,5.0,109.0,68.0,47.0,24.0,17.0,5.0,9.0,113.0,523.0,1690.0,1.0,2018,2,True
60,32,104898,5,Robin Haase,R,190.0,30.7,104882,0,Blaz Kavcic,R,188.0,30.8,3,32,120.0,7.0,3.0,80.0,49.0,35.0,15.0,12.0,2.0,5.0,1.0,2.0,85.0,50.0,29.0,16.0,12.0,8.0,12.0,42.0,1130.0,97.0,581.0,2018,2,True
61,32,106120,0,Ricardo Ojeda Lara,R,180.0,24.9,106210,6,Jiri Vesely,L,198.0,24.4,3,32,99.0,3.0,0.0,80.0,57.0,40.0,13.0,11.0,2.0,3.0,15.0,9.0,73.0,46.0,31.0,12.0,10.0,6.0,8.0,198.0,260.0,62.0,815.0,2018,2,False
62,32,125802,0,Ilya Ivashka,R,193.0,23.8,111576,0,Sumit Nagal,R,178.0,20.3,3,32,81.0,5.0,2.0,51.0,31.0,23.0,12.0,9.0,1.0,2.0,2.0,3.0,67.0,37.0,18.0,15.0,9.0,4.0,8.0,230.0,227.0,223.0,233.0,2018,2,False
63,32,104468,0,Gilles Simon,R,183.0,33.0,105815,0,Tennys Sandgren,R,188.0,26.4,3,32,76.0,2.0,2.0,58.0,33.0,19.0,14.0,9.0,2.0,4.0,1.0,2.0,46.0,24.0,14.0,6.0,8.0,4.0,9.0,89.0,610.0,96.0,583.0,2018,2,True
64,32,105732,8,Pierre Hugues Herbert,R,188.0,26.7,106065,0,Marco Cecchinato,R,185.0,25.2,3,32,144.0,11.0,7.0,118.0,76.0,57.0,19.0,16.0,9.0,11.0,5.0,4.0,109.0,72.0,48.0,18.0,16.0,2.0,6.0,81.0,652.0,109.0,543.0,2018,2,True
65,32,106026,0,Yuki Bhambri,R,183.0,25.4,111459,0,Arjun Kadhe,R,185.0,23.9,3,32,75.0,2.0,0.0,48.0,34.0,22.0,10.0,9.0,0.0,2.0,5.0,5.0,66.0,41.0,25.0,8.0,10.0,4.0,9.0,118.0,499.0,610.0,45.0,2018,2,True
66,32,106368,0,Ramkumar Ramanathan,R,188.0,23.1,106148,0,Roberto Carballes Baena,R,183.0,24.7,3,32,95.0,8.0,2.0,62.0,43.0,37.0,9.0,10.0,2.0,2.0,1.0,4.0,73.0,44.0,32.0,13.0,10.0,3.0,5.0,148.0,379.0,106.0,550.0,2018,2,False
67,32,104731,2,Kevin Anderson,R,203.0,31.6,106329,0,Thiago Monteiro,L,183.0,23.5,3,16,80.0,10.0,1.0,45.0,26.0,22.0,14.0,8.0,0.0,0.0,5.0,2.0,61.0,31.0,22.0,19.0,9.0,3.0,4.0,14.0,2480.0,124.0,475.0,2018,2,True
68,32,105062,7,Mikhail Kukushkin,R,183.0,30.0,111513,0,Laslo Djere,R,188.0,22.5,3,16,114.0,0.0,1.0,74.0,54.0,39.0,10.0,12.0,0.0,2.0,6.0,4.0,81.0,40.0,30.0,18.0,12.0,6.0,9.0,74.0,693.0,88.0,612.0,2018,2,True
69,32,105332,4,Benoit Paire,R,196.0,28.6,105916,0,Marton Fucsovics,R,188.0,25.8,3,16,182.0,10.0,7.0,143.0,62.0,53.0,29.0,17.0,12.0,16.0,4.0,6.0,142.0,83.0,56.0,27.0,17.0,16.0,21.0,41.0,1155.0,85.0,630.0,2018,2,True
70,32,104898,5,Robin Haase,R,190.0,30.7,111797,0,Nicolas Jarry,R,198.0,22.2,3,16,130.0,13.0,2.0,104.0,63.0,50.0,21.0,16.0,3.0,5.0,12.0,3.0,107.0,64.0,49.0,25.0,17.0,3.0,5.0,42.0,1130.0,113.0,523.0,2018,2,True
71,32,106120,0,Ricardo Ojeda Lara,R,180.0,24.9,125802,0,Ilya Ivashka,R,193.0,23.8,3,16,91.0,0.0,0.0,74.0,46.0,31.0,16.0,10.0,6.0,7.0,4.0,3.0,55.0,33.0,26.0,10.0,10.0,1.0,4.0,198.0,260.0,230.0,227.0,2018,2,True
72,32,104468,0,Gilles Simon,R,183.0,33.0,105138,3,Roberto Bautista Agut,R,183.0,29.7,3,16,122.0,4.0,2.0,86.0,49.0,34.0,19.0,11.0,3.0,5.0,0.0,4.0,75.0,43.0,30.0,15.0,10.0,4.0,7.0,89.0,610.0,20.0,2015.0,2018,2,False
